"","X.1","X","yrs","total","category","year"
"1",1,1,"2024-01-01",3639,"sdoh",2024-01-01
"2",2,2,"2023-01-01",6844,"sdoh",2023-01-01
"3",3,3,"2022-01-01",6884,"sdoh",2022-01-01
"4",4,4,"2021-01-01",6130,"sdoh",2021-01-01
"5",5,5,"2020-01-01",5064,"sdoh",2020-01-01
"6",6,6,"2019-01-01",3899,"sdoh",2019-01-01
"7",7,7,"2018-01-01",3320,"sdoh",2018-01-01
"8",8,8,"2017-01-01",2750,"sdoh",2017-01-01
"9",9,9,"2016-01-01",2357,"sdoh",2016-01-01
"10",10,10,"2015-01-01",2038,"sdoh",2015-01-01
"11",11,11,"2014-01-01",1797,"sdoh",2014-01-01
"12",12,12,"2013-01-01",1325,"sdoh",2013-01-01
"13",13,13,"2012-01-01",1001,"sdoh",2012-01-01
"14",14,14,"2011-01-01",906,"sdoh",2011-01-01
"15",15,15,"2010-01-01",774,"sdoh",2010-01-01
"16",16,16,"2009-01-01",671,"sdoh",2009-01-01
"17",17,17,"2008-01-01",555,"sdoh",2008-01-01
"18",18,18,"2007-01-01",483,"sdoh",2007-01-01
"19",19,19,"2006-01-01",428,"sdoh",2006-01-01
"20",20,20,"2005-01-01",364,"sdoh",2005-01-01
"21",21,21,"2004-01-01",294,"sdoh",2004-01-01
"22",22,22,"2003-01-01",249,"sdoh",2003-01-01
"23",23,23,"2002-01-01",242,"sdoh",2002-01-01
"24",24,24,"2001-01-01",190,"sdoh",2001-01-01
"25",25,25,"2000-01-01",216,"sdoh",2000-01-01
"26",26,26,"1999-01-01",174,"sdoh",1999-01-01
"27",27,27,"1998-01-01",184,"sdoh",1998-01-01
"28",28,28,"1997-01-01",198,"sdoh",1997-01-01
"29",29,29,"1996-01-01",175,"sdoh",1996-01-01
"30",30,30,"1995-01-01",143,"sdoh",1995-01-01
"31",31,31,"1994-01-01",141,"sdoh",1994-01-01
"32",32,32,"1993-01-01",148,"sdoh",1993-01-01
"33",33,33,"1992-01-01",131,"sdoh",1992-01-01
"34",34,34,"1991-01-01",133,"sdoh",1991-01-01
"35",35,35,"1990-01-01",95,"sdoh",1990-01-01
"36",36,36,"1989-01-01",79,"sdoh",1989-01-01
"37",37,37,"1988-01-01",68,"sdoh",1988-01-01
"38",38,38,"1987-01-01",54,"sdoh",1987-01-01
"39",39,39,"1986-01-01",44,"sdoh",1986-01-01
"40",40,40,"1985-01-01",46,"sdoh",1985-01-01
"41",41,41,"1984-01-01",56,"sdoh",1984-01-01
"42",42,42,"1983-01-01",46,"sdoh",1983-01-01
"43",43,43,"1982-01-01",24,"sdoh",1982-01-01
"44",44,44,"1981-01-01",23,"sdoh",1981-01-01
"45",45,45,"1980-01-01",31,"sdoh",1980-01-01
"46",46,46,"1979-01-01",16,"sdoh",1979-01-01
"47",47,47,"1978-01-01",19,"sdoh",1978-01-01
"48",48,48,"1977-01-01",9,"sdoh",1977-01-01
"49",49,49,"1976-01-01",8,"sdoh",1976-01-01
"50",50,50,"1975-01-01",8,"sdoh",1975-01-01
"51",51,51,"1974-01-01",6,"sdoh",1974-01-01
"52",52,52,"1973-01-01",10,"sdoh",1973-01-01
"53",53,53,"1972-01-01",2,"sdoh",1972-01-01
"54",54,54,"1971-01-01",4,"sdoh",1971-01-01
"55",55,55,"1970-01-01",1,"sdoh",1970-01-01
"56",56,56,"1969-01-01",4,"sdoh",1969-01-01
"57",57,57,"1968-01-01",3,"sdoh",1968-01-01
"58",58,58,"1967-01-01",2,"sdoh",1967-01-01
"59",59,59,"1966-01-01",4,"sdoh",1966-01-01
"60",60,60,"1965-01-01",1,"sdoh",1965-01-01
"61",61,61,"1961-01-01",1,"sdoh",1961-01-01
"62",62,62,"2024-01-01",30,"riskEnv",2024-01-01
"63",63,63,"2023-01-01",63,"riskEnv",2023-01-01
"64",64,64,"2022-01-01",61,"riskEnv",2022-01-01
"65",65,65,"2021-01-01",64,"riskEnv",2021-01-01
"66",66,66,"2020-01-01",67,"riskEnv",2020-01-01
"67",67,67,"2019-01-01",42,"riskEnv",2019-01-01
"68",68,68,"2018-01-01",45,"riskEnv",2018-01-01
"69",69,69,"2017-01-01",39,"riskEnv",2017-01-01
"70",70,70,"2016-01-01",44,"riskEnv",2016-01-01
"71",71,71,"2015-01-01",44,"riskEnv",2015-01-01
"72",72,72,"2014-01-01",37,"riskEnv",2014-01-01
"73",73,73,"2013-01-01",33,"riskEnv",2013-01-01
"74",74,74,"2012-01-01",29,"riskEnv",2012-01-01
"75",75,75,"2011-01-01",32,"riskEnv",2011-01-01
"76",76,76,"2010-01-01",17,"riskEnv",2010-01-01
"77",77,77,"2009-01-01",24,"riskEnv",2009-01-01
"78",78,78,"2008-01-01",21,"riskEnv",2008-01-01
"79",79,79,"2007-01-01",11,"riskEnv",2007-01-01
