"","yrs","total","category"
"1",2024-01-01,30,"riskEnv"
"2",2023-01-01,63,"riskEnv"
"3",2022-01-01,61,"riskEnv"
"4",2021-01-01,64,"riskEnv"
"5",2020-01-01,67,"riskEnv"
"6",2019-01-01,42,"riskEnv"
"7",2018-01-01,45,"riskEnv"
"8",2017-01-01,39,"riskEnv"
"9",2016-01-01,44,"riskEnv"
"10",2015-01-01,44,"riskEnv"
"11",2014-01-01,37,"riskEnv"
"12",2013-01-01,33,"riskEnv"
"13",2012-01-01,29,"riskEnv"
"14",2011-01-01,32,"riskEnv"
"15",2010-01-01,17,"riskEnv"
"16",2009-01-01,24,"riskEnv"
"17",2008-01-01,21,"riskEnv"
"18",2007-01-01,11,"riskEnv"
"19",2006-01-01,16,"riskEnv"
"20",2005-01-01,15,"riskEnv"
"21",2004-01-01,6,"riskEnv"
"22",2003-01-01,10,"riskEnv"
"23",2002-01-01,6,"riskEnv"
"24",2001-01-01,8,"riskEnv"
"25",2000-01-01,5,"riskEnv"
"26",1999-01-01,7,"riskEnv"
"27",1998-01-01,4,"riskEnv"
"28",1997-01-01,2,"riskEnv"
"29",1996-01-01,5,"riskEnv"
"30",1995-01-01,2,"riskEnv"
"31",1994-01-01,1,"riskEnv"
"32",1993-01-01,2,"riskEnv"
"33",1991-01-01,3,"riskEnv"
"34",1990-01-01,4,"riskEnv"
"35",1988-01-01,2,"riskEnv"
"36",1986-01-01,1,"riskEnv"
"37",1985-01-01,2,"riskEnv"
"38",1984-01-01,3,"riskEnv"
"39",1983-01-01,1,"riskEnv"
"40",1982-01-01,1,"riskEnv"
"41",2024-01-01,444,"intSct"
"42",2023-01-01,824,"intSct"
"43",2022-01-01,833,"intSct"
"44",2021-01-01,570,"intSct"
"45",2020-01-01,362,"intSct"
"46",2019-01-01,310,"intSct"
"47",2018-01-01,218,"intSct"
"48",2017-01-01,140,"intSct"
"49",2016-01-01,126,"intSct"
"50",2015-01-01,68,"intSct"
"51",2014-01-01,54,"intSct"
