Year,Count
2024,7
2023,21
2022,24
2021,110
2020,166
2019,238
2018,197
2017,155
2016,145
2015,143
2014,189
2013,157
2012,65
2011,23
2010,12
2009,7
2008,2
2007,4
2006,4
2005,6
2004,4
2003,6
2002,7
2001,2
2000,8
1998,8
1997,4
1996,3
1995,1
1994,2
1993,5
1992,1
1991,4
1990,2
1989,4
1988,4
1987,1
1986,6
1985,3
1984,4
1983,1
1982,1
1981,2
1980,4
1979,3
1978,6
1977,5
1976,4
1975,2
1974,7
1972,1
1970,2
1969,1
1968,3
1967,2
1966,2
1964,4
1963,6
1962,5
1961,1
1960,1
1958,1
1957,1
1956,1
1955,3
1954,2
1953,2
1952,5
1951,2
1950,2
1947,1
1946,3
1932,1
1898,1
1895,1
1858,1
1857,1
1799,1
