Year,Count
2024,3639
2023,6844
2022,6884
2021,6130
2020,5064
2019,3899
2018,3320
2017,2750
2016,2357
2015,2038
2014,1797
2013,1325
2012,1001
2011,906
2010,774
2009,671
2008,555
2007,483
2006,428
2005,364
2004,294
2003,249
2002,242
2001,190
2000,216
1999,174
1998,184
1997,198
1996,175
1995,143
1994,141
1993,148
1992,131
1991,133
1990,95
1989,79
1988,68
1987,54
1986,44
1985,46
1984,56
1983,46
1982,24
1981,23
1980,31
1979,16
1978,19
1977,9
1976,8
1975,8
1974,6
1973,10
1972,2
1971,4
1970,1
1969,4
1968,3
1967,2
1966,4
1965,1
1961,1
