,yrs,sdoh,sdoh-change,riskEnv,Intersectionality,Exposome,FundM,PolEco,Salut
1,1/1/46,NA,,NA,NA,NA,1,NA,NA
2,1/1/61,1,#VALUE!,NA,NA,NA,NA,NA,NA
3,1/1/65,1,0,NA,NA,NA,NA,NA,NA
4,1/1/66,4,300,NA,NA,NA,NA,NA,NA
5,1/1/67,2,-50,NA,NA,NA,NA,NA,NA
6,1/1/68,3,50,NA,NA,NA,NA,1,NA
7,1/1/69,4,33.33333333,NA,NA,NA,NA,1,NA
8,1/1/70,1,-75,NA,NA,NA,NA,NA,NA
9,1/1/71,4,300,NA,NA,NA,NA,2,NA
10,1/1/72,2,-50,NA,NA,NA,NA,NA,NA
11,1/1/73,10,400,NA,NA,NA,NA,3,NA
12,1/1/74,6,-40,NA,NA,NA,NA,5,NA
13,1/1/75,8,33.33333333,NA,NA,NA,NA,1,2
14,1/1/76,8,0,NA,NA,NA,NA,2,NA
15,1/1/77,9,12.5,NA,NA,NA,NA,3,1
16,1/1/78,19,111.1111111,NA,NA,NA,NA,3,NA
17,1/1/79,16,-15.78947368,NA,NA,NA,1,NA,NA
18,1/1/80,31,93.75,NA,NA,NA,2,2,1
19,1/1/81,23,-25.80645161,NA,NA,NA,1,1,NA
20,1/1/82,24,4.347826087,1,NA,NA,NA,3,NA
21,1/1/83,46,91.66666667,1,NA,NA,1,11,2
22,1/1/84,56,21.73913043,3,NA,NA,NA,13,2
23,1/1/85,46,-17.85714286,2,NA,NA,4,18,2
24,1/1/86,44,-4.347826087,1,NA,NA,1,26,1
25,1/1/87,54,22.72727273,NA,NA,NA,NA,7,1
26,1/1/88,68,25.92592593,2,NA,NA,NA,6,3
27,1/1/89,79,16.17647059,NA,NA,NA,2,11,4
28,1/1/90,95,20.25316456,4,NA,NA,3,10,11
29,1/1/91,133,40,3,NA,NA,3,12,6
30,1/1/92,131,-1.503759398,NA,NA,NA,2,20,13
31,1/1/93,148,12.97709924,2,NA,NA,NA,16,13
32,1/1/94,141,-4.72972973,1,1,NA,3,16,19
33,1/1/95,143,1.418439716,2,NA,NA,1,12,17
34,1/1/96,175,22.37762238,5,NA,NA,1,15,33
35,1/1/97,198,13.14285714,2,2,NA,1,6,25
36,1/1/98,184,-7.070707071,4,NA,NA,NA,11,35
37,1/1/99,174,-5.434782609,7,2,NA,4,16,45
38,1/1/00,216,24.13793103,5,1,NA,3,20,43
39,1/1/01,190,-12.03703704,8,NA,NA,2,11,47
40,1/1/02,242,27.36842105,6,NA,NA,4,12,52
41,1/1/03,249,2.892561983,10,NA,NA,5,24,70
42,1/1/04,294,18.07228916,6,2,NA,5,23,68
43,1/1/05,364,23.80952381,15,3,1,3,18,85
44,1/1/06,428,17.58241758,16,3,NA,6,23,98
45,1/1/07,483,12.85046729,11,NA,NA,14,37,104
46,1/1/08,555,14.9068323,21,2,NA,8,30,112
47,1/1/09,671,20.9009009,24,10,1,10,31,124
48,1/1/10,774,15.35022355,17,13,2,13,42,138
49,1/1/11,906,17.05426357,32,24,24,8,31,202
50,1/1/12,1001,10.48565121,29,23,28,12,45,217
51,1/1/13,1325,32.36763237,33,43,40,16,49,223
52,1/1/14,1797,35.62264151,37,54,62,18,70,258
53,1/1/15,2038,13.41124096,44,68,71,12,80,266
54,1/1/16,2357,15.65260059,44,126,95,12,107,303
55,1/1/17,2750,16.6737378,39,140,118,16,87,265
56,1/1/18,3320,20.72727273,45,218,156,18,109,259
57,1/1/19,3899,17.43975904,42,310,183,16,143,269
58,1/1/20,5064,29.87945627,67,362,261,26,160,326
59,1/1/21,6130,21.05055292,64,570,394,32,179,350
60,1/1/22,6884,12.30016313,61,833,528,34,156,433
61,1/1/23,6844,-0.581057525,63,824,578,42,145,316
62,1/1/24,3639,-46.82933957,30,444,342,21,87,163
